Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
1070,0,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1869.1588789999998,1070.0,0.0,1070,1070,0,0.0,0.0,0,0,1070,1070.0,0.0,1070,1070,0,0,0,40,0.0,1869.1588789999998,0,0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1,35,3,334,0,0,0.0,0.0,0,0,0.0,0.0,0,0
3805,1,3,30,454,30,30,30.0,0.0,280,30,151.33333330000002,125.1612294,127201.0512,1051.248357,1268.333333,1125.988603,2344,98,0,0.0,0.0,0,0,3805,1902.5,762.9682169,2442,1363,0,0,8,24,262.8120894,788.4362681,30,280,102.8,110.67610400000001,12249.2,0,0,0,0,0,0,0,0,3,128.5,30.0,151.33333330000002,12,1067,13,26137,1,0,0.0,0.0,0,0,0.0,0.0,0,0
16,0,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,125000.0,16.0,0.0,16,16,0,0.0,0.0,0,0,16,16.0,0.0,16,16,0,0,0,0,0.0,125000.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0
4785,1,3,32,502,32,32,32.0,0.0,345,32,167.33333330000002,160.736845,111598.7461,835.9456635,1595.0,2461.5972460000003,4434,55,0,0.0,0.0,0,0,4785,2392.5,2964.898734,4489,296,0,0,8,24,208.9864159,626.9592476,32,345,113.2,135.6934044,18412.7,0,0,0,0,0,0,0,0,3,141.5,32.0,167.33333330000002,2,2600,2,0,1,0,0.0,0.0,0,0,0.0,0.0,0,0
3738,1,3,32,559,32,32,32.0,0.0,438,32,186.33333330000002,219.8052168,158105.939,1070.090958,1246.0,1512.085646,2945,48,0,0.0,0.0,0,0,3738,1869.0,1589.576044,2993,745,0,0,8,24,267.5227394,802.5682182999999,32,438,124.6,176.9259732,31302.8,0,0,0,0,0,0,0,0,3,155.75,32.0,186.33333330000002,1,36,3,610,1,0,0.0,0.0,0,0,0.0,0.0,0,0
17,0,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,117647.0588,17.0,0.0,17,17,0,0.0,0.0,0,0,17,17.0,0.0,17,17,0,0,0,0,0.0,117647.0588,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0
2241,3,5,2600,3900,2600,0,866.6666667000002,1501.1107,3900,0,780.0,1744.133022,2900490.852,3569.8348950000004,320.14285710000007,604.7948491000001,1632,8,1713,856.5,1112.278967,1643,70,2241,560.25,760.8764135,1653,25,0,0,60,100,1338.6880859999999,2231.146809,0,3900,1155.555556,1773.4931010000003,3145277.778,0,0,0,1,1,0,0,0,1,1300.0,866.6666667000002,780.0,1,30,3,435,1,0,0.0,0.0,0,0,0.0,0.0,0,0
3415,1,3,30,435,30,30,30.0,0.0,294,30,145.0,135.2442235,136163.9824,1171.303075,1138.333333,1076.506541,2217,64,0,0.0,0.0,0,0,3415,1707.5,811.051478,2281,1134,0,0,8,24,292.82576869999997,878.477306,30,294,99.0,114.5120081,13113.0,0,0,0,0,0,0,0,0,3,123.75,30.0,145.0,11,875,13,355,1,0,0.0,0.0,0,0,0.0,0.0,0,0
14,0,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,142857.1429,14.0,0.0,14,14,0,0.0,0.0,0,0,14,14.0,0.0,14,14,0,0,0,0,0.0,142857.1429,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0
33666141,164,171,8014,656785,1318,0,48.86585366,236.74027400000003,64239,0,3840.847953,7801.6168450000005,19746.81327,9.950650418,100796.8293,927657.7282,10200000,-150,25000000,153665.2822,1144442.738,10200000,1,33700000,198036.1235,1342426.701,11300000,1,0,0,3280,3444,4.87136319,5.079287228,0,64239,1978.568452,5875.290126,34500000.0,0,1,0,0,0,0,0,0,1,1984.474627,48.86585366,3840.847953,164,8014,171,656785,8,0,2288844.5,1785794.64,3551592,1026097,10200000.0,8266.785379,10200000,10200000
